rich,poor
richer,poorer
richest,poorest
affluence,poverty
advantaged,disadvantaged
affluent,destitute
classy,beggarly
costly,economical
exorbitant,impecunious
expensive,inexpensive
exquisite,ruined
extravagant,necessitous
flush,skint
invaluable,cheap
lavish,economical
luxuriant,penurious
luxurious,threadbare
luxury,cheap
moneyed,unmonied
opulent,indigent
plush,threadbare
posh,plain
precious,cheap
priceless,worthless
privileged,underprivileged
propertied,bankrupt
prosperous,unprosperous
developed,underdeveloped
solvency,insolvency
successful,unsuccessful
sumptuous,plain
swanky,basic
opulent,needy
upscale,squalid
valuable,valueless
wealthy,impoverished
ritzy,ramshackle
opulence,indigence
solvent,insolvent
moneyed,moneyless
rich,penniless
affluence,penury
