,gender_se,class_se,race_se
basketball,1.293867,1.159264,0.8553299
baseball,1.082011,1.685607,1.124619
boxing,0.9145117,1.891672,1.323796
softball,1.735328,1.610595,1.023695
volleyball,1.136189,0.9689276,1.106939
tennis,1.021738,0.9514282,1.430841
golf,1.108239,1.189398,1.072324
hockey,0.9323494,1.245276,1.201703
soccer,1.278796,1.980936,1.509651
hairdresser,1.05563,0.9420383,1.161763
lawyer,1.004389,0.9358272,1.054412
doctor,1.134285,0.7755137,1.719941
plumber,1.188415,1.090353,1.074723
scientist,0.8105719,0.8723661,0.9871276
engineer,0.843248,1.120465,1.078623
banker,1.285277,1.723813,1.472126
nanny,1.147332,1.333859,1.866109
carpenter,0.9249455,1.350936,1.058526
journalist,0.8606767,1.091528,0.8708502
nurse,1.063177,1.29042,0.9321451
jazz,1.099672,1.835415,1.054202
bluegrass,0.8527585,1.898293,1.420024
punk,1.006995,1.34121,1.401008
hiphop,0.9669906,1.049029,1.862318
rap,0.9328728,0.9995601,1.011889
opera,0.9680865,0.9216341,1.088122
techno,0.9244552,1.549665,1.205955
hamburger,1.09965,0.9500684,1.047319
cheesecake,1.342707,1.865131,1.149285
salad,0.9247673,1.075781,0.9190993
steak,0.9056177,0.905856,1.049454
wine,0.9222234,0.9526348,1.148629
beer,0.9532244,1.346391,0.8263825
pastry,0.938991,1.181297,1.082205
motorcycle,0.9563616,0.9451993,1.035451
minivan,1.093047,1.119604,1.051681
skateboard,1.287962,1.027619,1.051262
suv,1.831846,0.9349235,1.816449
truck,0.9818832,1.04166,1.925063
bicycle,1.16727,1.080319,1.78655
limousine,1.265974,0.8443094,1.11142
blouse,1.076209,0.7807322,1.219643
pants,1.273713,0.8240287,1.023458
necklace,1.104013,0.7678121,1.192926
tuxedo,0.8821287,0.9338478,1.383733
briefcase,1.090977,0.8954868,1.35626
shirt,0.6331058,0.696698,1.138169
dress,0.8808759,0.848091,1.154602
suit,1.011131,0.9384057,1.283769
socks,0.5661482,1.182152,1.039768
shorts,0.9488151,1.012709,1.185894
Jake,0.9110089,1.147779,1.303657
Shanice,1.072162,1.233151,1.228984
Aaliyah,1.154786,1.197977,1.511355
Connor,1.055872,1.187545,1.164659
Jamal,0.9235424,1.202036,0.924698
Molly,0.9719612,1.083338,1.019008
Tyrone,0.8069182,1.248409,0.8722595
Amy,1.060039,1.138878,1.165433
